# Lyra2.0 trained net: Lyra2WanModel
# checkpoint: outputs/lyra2_v2/lyra_2/maze/lyra2_maze_selfaug/checkpoints/iter_000041500
# total parameters:     243,647,504
# trainable parameters: 243,647,504
# frozen parameters:    0
# num tensors:          311
#
# name                             	shape	numel	state
patch_embedding.weight           	(1024, 36)	36864	train
patch_embedding.bias             	(1024,)	1024	train
time_embedding.0.weight          	(1024, 256)	262144	train
time_embedding.0.bias            	(1024,)	1024	train
time_embedding.2.weight          	(1024, 1024)	1048576	train
time_embedding.2.bias            	(1024,)	1024	train
time_projection.1.weight         	(6144, 1024)	6291456	train
time_projection.1.bias           	(6144,)	6144	train
blocks.0.modulation              	(1, 6, 1024)	6144	train
blocks.0.self_attn.q.weight      	(1024, 1024)	1048576	train
blocks.0.self_attn.q.bias        	(1024,)	1024	train
blocks.0.self_attn.k.weight      	(1024, 1024)	1048576	train
blocks.0.self_attn.k.bias        	(1024,)	1024	train
blocks.0.self_attn.v.weight      	(1024, 1024)	1048576	train
blocks.0.self_attn.v.bias        	(1024,)	1024	train
blocks.0.self_attn.o.weight      	(1024, 1024)	1048576	train
blocks.0.self_attn.o.bias        	(1024,)	1024	train
blocks.0.self_attn.norm_q.weight 	(1024,)	1024	train
blocks.0.self_attn.norm_k.weight 	(1024,)	1024	train
blocks.0.ffn.0.weight            	(4096, 1024)	4194304	train
blocks.0.ffn.0.bias              	(4096,)	4096	train
blocks.0.ffn.2.weight            	(1024, 4096)	4194304	train
blocks.0.ffn.2.bias              	(1024,)	1024	train
blocks.0.cam_encoder.weight      	(1024, 384)	393216	train
blocks.0.buffer_encoder.0.weight 	(256, 5120)	1310720	train
blocks.0.buffer_encoder.1.weight 	(1024, 256)	262144	train
blocks.1.modulation              	(1, 6, 1024)	6144	train
blocks.1.self_attn.q.weight      	(1024, 1024)	1048576	train
blocks.1.self_attn.q.bias        	(1024,)	1024	train
blocks.1.self_attn.k.weight      	(1024, 1024)	1048576	train
blocks.1.self_attn.k.bias        	(1024,)	1024	train
blocks.1.self_attn.v.weight      	(1024, 1024)	1048576	train
blocks.1.self_attn.v.bias        	(1024,)	1024	train
blocks.1.self_attn.o.weight      	(1024, 1024)	1048576	train
blocks.1.self_attn.o.bias        	(1024,)	1024	train
blocks.1.self_attn.norm_q.weight 	(1024,)	1024	train
blocks.1.self_attn.norm_k.weight 	(1024,)	1024	train
blocks.1.ffn.0.weight            	(4096, 1024)	4194304	train
blocks.1.ffn.0.bias              	(4096,)	4096	train
blocks.1.ffn.2.weight            	(1024, 4096)	4194304	train
blocks.1.ffn.2.bias              	(1024,)	1024	train
blocks.1.cam_encoder.weight      	(1024, 384)	393216	train
blocks.1.buffer_encoder.0.weight 	(256, 5120)	1310720	train
blocks.1.buffer_encoder.1.weight 	(1024, 256)	262144	train
blocks.2.modulation              	(1, 6, 1024)	6144	train
blocks.2.self_attn.q.weight      	(1024, 1024)	1048576	train
blocks.2.self_attn.q.bias        	(1024,)	1024	train
blocks.2.self_attn.k.weight      	(1024, 1024)	1048576	train
blocks.2.self_attn.k.bias        	(1024,)	1024	train
blocks.2.self_attn.v.weight      	(1024, 1024)	1048576	train
blocks.2.self_attn.v.bias        	(1024,)	1024	train
blocks.2.self_attn.o.weight      	(1024, 1024)	1048576	train
blocks.2.self_attn.o.bias        	(1024,)	1024	train
blocks.2.self_attn.norm_q.weight 	(1024,)	1024	train
blocks.2.self_attn.norm_k.weight 	(1024,)	1024	train
blocks.2.ffn.0.weight            	(4096, 1024)	4194304	train
blocks.2.ffn.0.bias              	(4096,)	4096	train
blocks.2.ffn.2.weight            	(1024, 4096)	4194304	train
blocks.2.ffn.2.bias              	(1024,)	1024	train
blocks.2.cam_encoder.weight      	(1024, 384)	393216	train
blocks.2.buffer_encoder.0.weight 	(256, 5120)	1310720	train
blocks.2.buffer_encoder.1.weight 	(1024, 256)	262144	train
blocks.3.modulation              	(1, 6, 1024)	6144	train
blocks.3.self_attn.q.weight      	(1024, 1024)	1048576	train
blocks.3.self_attn.q.bias        	(1024,)	1024	train
blocks.3.self_attn.k.weight      	(1024, 1024)	1048576	train
blocks.3.self_attn.k.bias        	(1024,)	1024	train
blocks.3.self_attn.v.weight      	(1024, 1024)	1048576	train
blocks.3.self_attn.v.bias        	(1024,)	1024	train
blocks.3.self_attn.o.weight      	(1024, 1024)	1048576	train
blocks.3.self_attn.o.bias        	(1024,)	1024	train
blocks.3.self_attn.norm_q.weight 	(1024,)	1024	train
blocks.3.self_attn.norm_k.weight 	(1024,)	1024	train
blocks.3.ffn.0.weight            	(4096, 1024)	4194304	train
blocks.3.ffn.0.bias              	(4096,)	4096	train
blocks.3.ffn.2.weight            	(1024, 4096)	4194304	train
blocks.3.ffn.2.bias              	(1024,)	1024	train
blocks.3.cam_encoder.weight      	(1024, 384)	393216	train
blocks.3.buffer_encoder.0.weight 	(256, 5120)	1310720	train
blocks.3.buffer_encoder.1.weight 	(1024, 256)	262144	train
blocks.4.modulation              	(1, 6, 1024)	6144	train
